INVESTIGATION_ID,Location,Sublocation,Desc,Status
4661964,Front,,"Exterior steps, not maintained, namley, loose and unsecured tiles, deterioated materials, missing mortar.",Closed
4661964,South Side of Building,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair, namley, eavestrough not secured to perform its intended function.",Open
4661964,Front,,"The (verandah, porch, deck, loading dock, ramp, balcony, fire escape or other similar structure, and/or other appurtenant attachment) and/or the supporting structural member  is not maintained in good repair, namely, front overhang with deteriorated plastic roof and framing.",Closed
4661964,South Side of Building,,"The exterior walls and their components are not being maintained in good repair, namley, bottom portion of wall not maintained.",Open
4661964,Front,,"Exterior walkway not maintained, namley, cracked and deteriorated concrete.",Open
4661964,Rear Yard,,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris.",Closed
4661964,Rear,,"The exterior walls and their components are not being maintained in good repair, namely; deteriorated materials.",Open
4661964,South Side of Building,,"The roof or one of its components is not weather tight, nmaely; missing soffit cover.",Open
4661964,Rear,,"The (verandah, porch, deck, loading dock, ramp, balcony, fire escape or other similar structure, and/or other appurtenant attachment) and/or the supporting structural member  is not maintained in good repair, namley, deteriorated materials, spalling and missing brick.",Open
4661964,Front,,"The exterior columns and their components are not being maintained in good repair, namley, deteriorated material, spalling and missing brick on second storey brick columns.",Open
4675623,Throughout Building,Rear,The roof or one of its components is not weather tight. Namely damage fascia and roof.,Open
4673397,Throughout the unit,,"The property is not being kept free of rodents, vermin, insects or other pests.  Namely, bedbugs and cockroaches throughout the unit.  ",Open
4673397,Main entrance to apartment,,Door hardware/devices are not maintained in good repair.,Open
4673397,Main entrance door to the apartment,,Entrance/exit door is not equipped with a self-closing and self-locking mechanisms.  Namely broken/missing hardware.  ,Open
4673397,Main entrance door to apartment,,Interior door is not a good fit in its frame.,Open
4673397,Throughout,,"The electrical fixtures are not maintained in good working order.  Namely, missing light covers, missing bulbs, etc.  ",Open
4673397,Kitchen,,"Meals are being prepared in the room in which the required counter, backsplash and drain board are not made of a material impervious to water.  Namely, heavily deteriorated countertop and area near kitchen faucet.  ",Open
4673397,Kitchen,,Exterior window(s) with broken/cracked glass.,Open
4673397,Bathroom,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.  Namely, hole in drywall cut out out behind W.C.",Open
4673397,Throughout,,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.  Namely, damaged doors, holes, etc.  ",Open
4673397,Bathroom,,"Vanity is not maintained in a satisfactory condition.  Namely, vanity unit is not secured to the wall.  ",Open
4673397,Throughout,,"Immediate action has not been taken to eliminate an unsafe condition.  Namely, failure to address infestation issues and also Fire Safety issues.  ",Open
4690730,At the gate:,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair. Close the gap at the west side of the yard entrance.",Open
4729850,Dwelling Unit  -  Washroom,,Repair(s) does not reasonably match existing ceiling(s).Namely but no tlimited to; Ceiling previously repaired/patched but not sanded or painted to reasonably match rest of ceiling in washroom.,Closed
4729850,Dwelling Unit  -  Entranceway,Unit door,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.Namely but not limited to; Holes in door frame next to door closer.",Open
4729850,Dwelling Unit  -  Kitchen,,The kitchen fixture(s) and/or fitting is not maintained in good repair and good working order.Namely but not limited to; Grout cracked creating small gap between wall and counter top - not water tight.,Closed
4729850,Dwelling Unit  -  Kitchen,,"The ventilation system or unit is not kept in good repair and maintained in good working condition at all times.Namely but not limited to; Ventilation system not in good working condition, mechanical system unable to completely change air in the kitchen area.",Closed
4729850,Dwelling Unit  -  Kitchen,,The cupboard is not maintained in good repair and good working order.Namely but not limited to; Doors and hinges deteriorated and/or damaged.,Closed
4729850,Dwelling Unit  -  Living Room,,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.Namely but not limited to; Weather stripping of door damage and/or deteriorated.",Open
4729850,Dwelling Unit  -  Living Room,,Exterior window not maintained weather-tight.Namely but not limited to; Window seal(s) damaged and/or deteriorated.,Open
4729850,Dwelling Unit  -  Living Room,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely but not limited to; Holes located at either sides of radiator unit.",Closed
4729850,Dwelling Unit  -  Living Room,,Repair(s) does not reasonably match existing wall(s).Namely but not limited; Coax outlets on wall above radiator painted and interfering with proper installation of radiator casing.,Closed
4729850,Dwelling Unit  -  Bedroom,Second Bedroom,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely but not limited to; Water damage present on right side of window frame, and cracks on adjacent walls.",Open
4729850,Dwelling Unit  -  Bedroom,Second Bedroom,"Exterior window or skylight not maintained in good repair.Namely but not limited to; Window frame not fitted properly, not enough allowance for the metal cladding to expand and contract.",Open
4729850,Dwelling Unit  -  Bedroom,Master Bedroom,"Exterior window or skylight not maintained in good repair.Namely but not limited to; Window frame not fitted properly, not enough allowance for the metal cladding to expand and contract.",Open
4729850,Dwelling Unit  -  Washroom,,Vanity is not maintained in a satisfactory condition.Namely but not limited to; Water damage observed throughout bottom shelves on vanity. Large hole created in centre of vanity for piping not patched.,Closed
4729850,Dwelling Unit  -  Washroom,,Repair(s) does not reasonably match existing wall(s).Namely but not limited to; Protruding hot water pipe from wall.,Closed
4984015,,,Exterior garbage containment area not screened.,Open
4984015,,,The grass height exceeds twenty (20) centimetres.,Open
4984015,,,"Exterior yard that is used for the parking or storage of vehicles or surfaced with a material impervious to water is not maintained in good repair, free from cracks, holes and ruts.",Open
4984015,,,Exterior yard that is used for the parking or storage of vehicles or surfaced with a material impervious to water is not provided with suitable marking to indicate parking spaces.,Open
4984015,,,"The property is not being kept free of rodents, vermin, insects or other pests.",Open
4984015,,,The sign(s) and/or sign structure(s) is not being used for the purposes intended.,Open
4984015,,,Exterior walkway not maintained.,Open
4963984,West Side of Property,Rear,The accessory building is not constructed and/or maintained in good repair.,Open
4963984,West Side of Property,Rear,"The accessory building is not constructed and/or maintained free from hazards. Namely accumulated of junk, debris, waste, loos litter and etc. inside the garage.",Open
4960333,,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained free from hazards.  Eavestrough not provided at portions of roof structure/ or damaged.",Open
4960333,,,The exterior surface has not been restored and/or resurfacedn where necessary at front portion of building.,Closed
4960333,,,The roof or one of its components is not weather tight.  Shingles have become loose/ worn out at front portion of building.,Closed
5285860,Rear & Side yards,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to junky items as furniture, wood, piles of plastic containers with office documents and debris.",Open
4966666,Exterior,,The property contains shrubs and/or hedges which are overgrown and require trimming.,Closed
